Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Status,Image Src
luxury-leather-dog-collar,Premium Leather Dog Collar,"<p>Handcrafted genuine leather collar for dogs. Durable, comfortable, and stylish. Perfect for daily walks and special occasions. Adjustable for a perfect fit.</p><p><strong>Features:</strong></p><ul><li>Genuine leather</li><li>Rust-proof D-ring</li><li>Adjustable sizing</li><li>Vet-approved materials</li></ul>",Pawflok,Dog Collars,"dogs,collars,bestseller,leather",TRUE,Size,S,"PF-DC-001",120,shopify,50,deny,manual,1499,1999,TRUE,TRUE,active,"https://images.unsplash.com/photo-1609856157917-b91dfd379b8f?w=800&h=800&fit=crop"
orthopedic-memory-foam-pet-bed,Orthopedic Memory Foam Pet Bed,"<p>Premium orthopedic bed for dogs and cats. Memory foam supports joints and relieves pressure. Removable, machine-washable cover. Ideal for senior pets or those with joint issues.</p><p><strong>Features:</strong></p><ul><li>Medical-grade memory foam</li><li>Water-resistant base</li><li>Removable cover</li><li>Non-slip bottom</li></ul>",Pawflok,Pet Beds,"dogs,cats,beds,orthopedic,bestseller",TRUE,Size,M,"PF-BED-002",800,shopify,30,deny,manual,3999,4999,TRUE,TRUE,active,"https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800&h=800&fit=crop"
interactive-feather-wand-cat-toy,Interactive Feather Wand Toy Set,"<p>Engaging feather wand set for cats. Encourages exercise and bonding. Durable construction with replaceable feathers. Includes 3 wand attachments.</p><p><strong>Features:</strong></p><ul><li>3 interchangeable attachments</li><li>Extendable wand</li><li>Durable construction</li><li>Stimulates natural hunting instinct</li></ul>",Pawflok,Cat Toys,"cats,toys,interactive",TRUE,,,"PF-CT-003",80,shopify,100,deny,manual,599,799,TRUE,TRUE,active,"https://images.unsplash.com/photo-1514888286974-6c03e2ca1dba?w=800&h=800&fit=crop"
stainless-steel-bowl-set-2pack,Stainless Steel Bowl Set (2-Pack),"<p>Premium stainless steel feeding bowls. Easy to clean, dishwasher safe, and won't harbor bacteria. Non-slip rubber base. Set includes 2 bowls.</p><p><strong>Features:</strong></p><ul><li>Food-grade stainless steel</li><li>Non-slip base</li><li>Dishwasher safe</li><li>2 bowls included</li></ul>",Pawflok,Feeding,"dogs,cats,feeding,bowls",TRUE,Size,Medium,"PF-BOWL-004",350,shopify,75,deny,manual,899,,TRUE,TRUE,active,"https://images.unsplash.com/photo-1748007702809-df9dadff11d2?w=800&h=800&fit=crop"
premium-dog-harness,Premium Dog Harness with Padded Chest,"<p>Comfortable no-pull harness with padded chest plate. Reflective stitching for visibility. Easy to put on and adjust. Perfect for walks and training.</p><p><strong>Features:</strong></p><ul><li>Padded chest plate</li><li>Reflective stitching</li><li>4 adjustment points</li><li>D-ring for leash attachment</li></ul>",Pawflok,Dog Harnesses,"dogs,harnesses,walking,bestseller",TRUE,Size,L,"PF-HARN-005",200,shopify,40,deny,manual,1899,2299,TRUE,TRUE,active,"https://images.unsplash.com/photo-1530281700549-e82e7bf110d6?w=800&h=800&fit=crop"
cat-collar-with-bell,Cat Collar with Safety Bell,"<p>Lightweight breakaway collar for cats. Safety bell helps locate your cat. Quick-release buckle for safety. Adjustable for growing kittens.</p><p><strong>Features:</strong></p><ul><li>Breakaway safety buckle</li><li>Adjustable fit</li><li>Safety bell included</li><li>Lightweight nylon</li></ul>",Pawflok,Cat Collars,"cats,collars,safety",TRUE,Size,Small,"PF-CC-006",25,shopify,60,deny,manual,349,,TRUE,TRUE,active,"https://images.unsplash.com/photo-1644008106772-d16e30e369b0?w=800&h=800&fit=crop"
pet-grooming-brush-set,Pet Grooming Brush Set,"<p>Complete grooming kit for dogs and cats. Includes slicker brush, comb, and deshedding tool. Ergonomic handles. Reduces shedding and keeps coat healthy.</p><p><strong>Features:</strong></p><ul><li>3-piece set</li><li>Ergonomic handles</li><li>All coat types</li><li>Easy to clean</li></ul>",Pawflok,Grooming,"dogs,cats,grooming,accessories",TRUE,,,"PF-GR-007",150,shopify,45,deny,manual,749,999,TRUE,TRUE,active,"https://images.unsplash.com/photo-1561037404-61cd46aa615b?w=800&h=800&fit=crop"
dog-treat-pouch,Dog Treat Pouch with Dispenser,"<p>Hands-free treat pouch for training. Magnetic closure, dispenser opening. Fits comfortably on belt or waist. Durable, washable fabric.</p><p><strong>Features:</strong></p><ul><li>Hands-free design</li><li>Magnetic closure</li><li>Washable</li><li>Adjustable strap</li></ul>",Pawflok,Training,"dogs,training,treats,accessories",TRUE,Color,Black,"PF-TP-008",100,shopify,35,deny,manual,549,,TRUE,TRUE,active,"https://images.unsplash.com/photo-1566576912321-d58ddd7a6088?w=800&h=800&fit=crop"
rope-dog-toy,Rope Tug Toy for Dogs,"<p>Durable cotton rope toy for interactive play. Helps clean teeth and strengthen jaw. Perfect for fetch and tug-of-war. Multiple sizes available.</p><p><strong>Features:</strong></p><ul><li>100% cotton rope</li><li>Dental cleaning</li><li>Machine washable</li><li>Durable knots</li></ul>",Pawflok,Dog Toys,"dogs,toys,chew",TRUE,Size,Medium,"PF-RT-009",150,shopify,80,deny,manual,449,599,TRUE,TRUE,active,"https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?w=800&h=800&fit=crop"
cat-scratching-post,Cat Scratching Post with Toy,"<p>Tall sisal scratching post with dangling toy. Saves furniture and satisfies natural scratching instinct. Sturdy base prevents tipping.</p><p><strong>Features:</strong></p><ul><li>Sisal rope wrap</li><li>Dangling feather toy</li><li>Non-slip base</li><li>32 inch height</li></ul>",Pawflok,Cat Furniture,"cats,scratching,furniture",TRUE,,,"PF-SP-010",2500,shopify,25,deny,manual,1299,1599,TRUE,TRUE,active,"https://images.unsplash.com/photo-1514888286974-6c03e2ca1dba?w=800&h=800&fit=crop"
